Days_Passed,Date,Italy,India
0,14/02/20,0,0
1,15/02/20,0,0
2,16/02/20,0,0
3,17/02/20,0,0
4,18/02/20,0,0
5,19/02/20,0,0
6,20/02/20,0,0
7,21/02/20,0,0
8,22/02/20,58,0
9,23/02/20,78,0
10,24/02/20,72,0
11,25/02/20,94,0
12,26/02/20,147,0
13,27/02/20,185,0
14,28/02/20,234,0
15,29/02/20,239,0
16,01/03/20,573,0
17,02/03/20,335,3
18,03/03/20,466,1
19,04/03/20,587,22
20,05/03/20,769,1
21,06/03/20,778,1
22,07/03/20,1247,3
23,08/03/20,1492,6
24,09/03/20,1797,7
25,10/03/20,977,15
26,11/03/20,2313,0
27,12/03/20,2651,12
28,13/03/20,2547,8
29,14/03/20,3497,18
30,15/03/20,3590,14
31,16/03/20,3233,15
32,17/03/20,3526,14
33,18/03/20,4207,26
34,19/03/20,5322,25
35,20/03/20,5986,55
36,21/03/20,6557,83
37,22/03/20,5560,64
38,23/03/20,4789,103
39,24/03/20,5249,37
40,25/03/20,5210,121
41,26/03/20,6203,70
42,27/03/20,5909,160
43,28/03/20,5974,100
44,28/03/20,5217,37
